recipient_id,recipient_name,state,recipient_type,allocation_amount,vendor_rows,vendor_count,spend_total,spend_coverage_ratio,largest_vendor_share,direct_service_spend,review_worthy_spend,vendor_watch_spend,consulting_spend,administrative_spend,legal_pr_spend,capital_spend,opaque_spend,dominant_category_bucket,source_flags
MN-MINNESOTACOUNTYANDTRIBALNATIONCHILDPROTECTIONAGE,Minnesota County and Tribal Nation Child Protection Agencies,MN,county,26504970.00,5,1,26504970.00,1.0000,1.0000,0.00,26504970.00,0.00,0.00,0.00,0.00,0.00,26504970.00,opaque,ALLOCATIONS|SPENDING
PA-PHILADELPHIA,City of Philadelphia Office of Homeless Services,PA,organization,16276662.00,69,65,16276662.00,1.0000,0.2779,10821662.00,4945000.00,0.00,0.00,600000.00,335000.00,10000.00,4000000.00,direct_service,ALLOCATIONS|SPENDING
NC-COUNTY-BUNCOMBECOUNTY,Buncombe County,NC,county,30325482.48,12,6,5618280.80,0.1853,0.7058,819256.91,4632323.65,55387.50,3965166.75,0.00,0.00,0.00,667156.90,direct_service,ALLOCATIONS|SPENDING
MN-HENNEPINCOUNTY,Hennepin County,MN,county,9808030.00,121,1,9808030.00,1.0000,1.0000,6942415.00,2865615.00,0.00,0.00,2516620.00,348995.00,0.00,0.00,direct_service,ALLOCATIONS|SPENDING
NC-COUNTY-GUILFORDCOUNTY,Guilford County,NC,county,40750700.79,9,7,4911729.14,0.1205,0.5083,2233818.58,2582993.95,0.00,2496821.06,0.00,0.00,0.00,86172.89,direct_service,ALLOCATIONS|SPENDING
PA-CAMBRIA,Cambria County Drug & Alcohol Program,PA,organization,1921804.75,1,1,1921804.75,1.0000,1.0000,0.00,1921804.75,0.00,0.00,0.00,0.00,0.00,1921804.75,opaque,ALLOCATIONS|SPENDING
NC-COUNTY-GASTONCOUNTY,Gaston County,NC,county,40520354.42,6,5,2351572.84,0.0580,0.6793,754209.81,1597363.03,0.00,1597363.03,0.00,0.00,0.00,0.00,direct_service,ALLOCATIONS|SPENDING
NC-COUNTY-NEWHANOVERCOUNTY,New Hanover County,NC,county,35995934.37,9,5,3413490.48,0.0948,0.3675,2159000.00,1254490.48,0.00,1254490.48,0.00,0.00,0.00,0.00,direct_service,ALLOCATIONS|SPENDING
PA-MONTGOMERY,Montgomery County Department of Health and Human Service,PA,organization,4278050.63,8,8,4278050.63,1.0000,0.3249,2302550.38,1224808.64,0.00,0.00,0.00,0.00,0.00,1224808.64,direct_service,ALLOCATIONS|SPENDING
CO-STATEOFCOLORADO,STATE OF COLORADO,CO,municipality,55924.00,85,62,8535867.63,152.6334,0.1853,7306462.38,1196117.75,1959865.32,0.00,1018110.97,0.00,0.00,178006.78,direct_service,ALLOCATIONS|SPENDING
NC-COUNTY-WILKESCOUNTY,Wilkes County,NC,county,24114370.81,8,6,2180463.51,0.0904,0.4996,1091027.15,1089436.36,200311.66,1089436.36,0.00,0.00,0.00,0.00,direct_service,ALLOCATIONS|SPENDING
VA-RUSSELLTAZEWELLWISEYWYTHESMYTHCOUNTYBLANDCARROLL,"Russell, Tazewell, Wisey, Wythe, Smyth County, Bland, Carroll",VA,county,915039.00,1,1,915039.00,1.0000,1.0000,0.00,915039.00,0.00,0.00,0.00,0.00,0.00,915039.00,opaque,ALLOCATIONS|SPENDING
VA-CHESAPEAKEPORTSMOUTHSUFFOLKWASHINGTONCOUNTYBRISTOL,"Chesapeake, Portsmouth, Suffolk, Washington County, Bristol",VA,county,840000.00,1,1,840000.00,1.0000,1.0000,0.00,840000.00,0.00,0.00,0.00,0.00,840000.00,0.00,capital,ALLOCATIONS|SPENDING
NC-COUNTY-CARTERETCOUNTY,Carteret County,NC,county,13625349.95,5,3,1159945.58,0.0851,0.7059,341193.62,818751.96,0.00,818751.96,0.00,0.00,0.00,0.00,direct_service,ALLOCATIONS|SPENDING
NC-COUNTY-CABARRUSCOUNTY,Cabarrus County,NC,county,22715252.94,10,6,1396199.58,0.0615,0.5815,584311.39,811888.19,0.00,811888.19,0.00,0.00,0.00,0.00,direct_service,ALLOCATIONS|SPENDING
NC-COUNTY-FORSYTHCOUNTY,Forsyth County,NC,county,37049172.27,21,19,3082698.23,0.0832,0.2604,1631430.99,802751.45,4100.00,802751.45,0.00,0.00,0.00,0.00,direct_service,ALLOCATIONS|SPENDING
NC-COUNTY-DURHAMCOUNTY,Durham County,NC,county,21728812.76,3,3,896447.57,0.0413,0.6790,287772.94,608674.63,0.00,608674.63,0.00,0.00,0.00,0.00,direct_service,ALLOCATIONS|SPENDING
IN-TOWNOFSCOTT,Town of Scott,IN,municipality,1575611.71,12,12,618697.00,0.3927,0.2098,0.00,594597.00,0.00,0.00,0.00,0.00,594597.00,0.00,capital,ALLOCATIONS|SPENDING
CO-REGION2-LARIMER,Region 2- Larimer,CO,municipality,18985079.37,21,12,11346542.32,0.5977,0.5768,4252083.00,550000.00,0.00,0.00,550000.00,0.00,0.00,0.00,direct_service,ALLOCATIONS|SPENDING
IN-CITYOFMARION,City of Marion,IN,municipality,1178550.20,24,24,6670368.00,5.6598,0.2998,6000296.00,542786.00,28469.00,0.00,0.00,0.00,434128.00,108658.00,direct_service,ALLOCATIONS|SPENDING
NC-CITY-CITYOFCHARLOTTE,City of Charlotte,NC,city,1041563.48,2,1,1050000.00,1.0081,1.0000,525000.00,525000.00,0.00,0.00,0.00,0.00,0.00,525000.00,direct_service,ALLOCATIONS|SPENDING
